Known As,Full Name,Age,Overall,Positions Played,Best Position,Nationality,Club Name
L. Messi,Lionel Messi,35,91,RW,CAM,Argentina,Paris Saint-Germain
P. Chavarría,Pablo Chavarría,34,67,ST,ST,Argentina,Málaga CF
C. Guanca,Cristian Guanca,29,75,"CAM,RW,ST",CAM,Argentina,Al Shabab
L. Godoy,Leonardo Godoy,27,75,"RB,RWB",RB,Argentina,Estudiantes de La Plata
F. Sbuttoni,Franco Sbuttoni,33,67,CB,CB,Argentina,Club Atlético Central Córdoba
A. Barboza,Alexander Barboza,27,75,CB,CB,Argentina,Club Libertad
D. Glaby,Dylan Glaby,26,67,"CDM,CM,CB",CDM,Argentina,Barracas Central
J. Cacciabue,Jeronimo Cacciabue,24,67,"CDM,CM,RM",CM,Argentina,Miedź Legnica
J. Palacios,Julián Palacios,23,67,"RM,CM",RM,Argentina,Club Atlético Banfield
A. Rodríguez,Axel Rodríguez,25,67,ST,ST,Argentina,Patronato
A. Varela,Alan Varela,20,75,"CDM,CM",CDM,Argentina,Boca Juniors
F. Curuchet,Facundo Curuchet,32,67,"ST,RW,RM",ST,Argentina,Cienciano
C. Chávez,Cristian Chávez,36,67,"CAM,LM",CAM,Argentina,Club Deportivo Jorge Wilstermann
M. Di Benedetto,Matías Di Benedetto,29,67,CB,CB,Argentina,Club Atlético Central Córdoba
J. Malatini,Julián Malatini,21,67,"RB,CB",RB,Argentina,Club Atlético Talleres
M. Laba,Matías Laba,30,67,"CDM,CM",CDM,Argentina,Club Atlético Central Córdoba
N. Linares,Nicolás Linares,26,67,"CDM,CM",CDM,Argentina,Club Atlético Central Córdoba
V. Burgoa,Valentín Burgoa,21,67,"CAM,LM",LM,Argentina,Godoy Cruz
F. Farías,Facundo Farías,19,75,"ST,CF,LM",CAM,Argentina,Club Atlético Colón
L. Abecasis,Luciano Abecasis,32,67,RB,RB,Argentina,Club Atlético Banfield
A. Palavecino,Agustín Palavecino,25,75,"CM,CAM",CAM,Argentina,River Plate
F. González,Francisco González,21,67,"LW,RW",LM,Argentina,Newell's Old Boys
M. Pérez,Matías Pérez,22,67,CB,CB,Argentina,Club Atlético Lanús
F. Cristaldo,Franco Cristaldo,25,75,"CAM,CM,LM",CAM,Argentina,Club Atlético Huracán
D. Carando,Danilo Carando,33,67,ST,ST,Argentina,Cienciano
R. Contreras,Rodrigo Contreras,26,67,ST,ST,Argentina,Platense
R. Márquez,Rodrigo Márquez,20,67,"RM,RW",CAM,Argentina,Club Atlético Independiente
J. Andrada,Juan Andrada,27,67,"CDM,CM",CDM,Argentina,Godoy Cruz
O. Piris,Oscar Piris,33,67,CB,CB,Argentina,Gimnasia y Esgrima La Plata
E. Gómez,Elías Gómez,28,75,"LB,LWB",LB,Argentina,River Plate
F. Leys,Franco Leys,28,67,"CDM,CM",CDM,Argentina,Patronato
F. Bravo,Federico Bravo,28,67,"CDM,CB",CDM,Argentina,CD Antofagasta
M. Braida,Malcom Braida,25,67,"LW,LM,RW",ST,Argentina,San Lorenzo de Almagro
L. Recalde,Luciano Recalde,26,67,CB,CB,Argentina,Cienciano
F. Álvarez,Francisco Álvarez,22,67,CB,CB,Argentina,Patronato
I. Quílez,Ismael Quílez,32,67,"RB,RWB,RM",RB,Argentina,Club Atlético Huracán
J. Ayala,Josué Ayala,34,67,GK,GK,Argentina,Club Atlético Sarmiento
C. Ibañez,Cesar Ibañez,22,67,LB,LB,Argentina,Club Atlético Huracán
L. Balerdi,Leonardo Balerdi,23,75,CB,CB,Argentina,Olympique de Marseille
M. Cuadra,Maximiliano Cuadra,27,67,"ST,LM,RM",CAM,Argentina,Club Atlético Banfield
M. Moya,Matías Moya,24,67,"LW,CAM,CM",RM,Argentina,Deportivo Ñublense
W. Pérez,Walter Pérez,23,67,"LB,LM",LWB,Argentina,Club Atlético Huracán
F. Soldano,Franco Soldano,27,67,ST,ST,Argentina,Gimnasia y Esgrima La Plata
J. Chicco,Julián Chicco,24,67,"CDM,CM",CDM,Argentina,Club Atlético Colón
H. Tijanovich,Horacio Tijanovich,26,67,"LM,ST,RM",LM,Argentina,Platense
F. Apaolaza,Francisco Apaolaza,25,67,ST,ST,Argentina,Arsenal de Sarandí
Y. Arismendi,Yair Arismendi,24,66,"LM,RM",LM,Argentina,Club Atlético Sarmiento
N. Contin,Nicolás Contin,26,66,ST,ST,Argentina,Gimnasia y Esgrima La Plata
C. Lema,Cristian Lema,32,75,CB,CB,Argentina,Newell's Old Boys
L. Maciel,Leandro Maciel,26,66,"CM,CDM",CDM,Argentina,Club Atlético Aldosivi
J. Sforza,Juan Sforza,20,66,"CM,CDM",CM,Argentina,Newell's Old Boys
M. Miranda,Matías Miranda,22,66,"CAM,RM,CM",CAM,Argentina,Gimnasia y Esgrima La Plata
F. Lo Celso,Francesco Lo Celso,22,66,"LM,CM,CAM",CAM,Argentina,Rosario Central
G. Hernández,Gastón Hernández,24,66,CB,CB,Argentina,San Lorenzo de Almagro
G. Hauche,Guillermo Hauche,29,66,"CM,CAM",CAM,Argentina,General Caballero (JLM)
F. Pizzini,Francisco Pizzini,28,75,"RM,LM",RM,Argentina,Club Atlético Talleres
R. Saracho,Rodrigo Saracho,28,66,GK,GK,Argentina,Barracas Central
M. Tagliamonte,Matias Tagliamonte,24,66,GK,GK,Argentina,Racing Club
V. Taborda,Vicente Taborda,21,66,"LM,CAM,LW",ST,Argentina,Platense
L. Kruspzky,Lucas Kruspzky,30,66,LB,LB,Argentina,Patronato
E. Pereyra,Elías Pereyra,23,66,"LB,LWB",LWB,Argentina,Godoy Cruz
A. Leguizamón,Aníbal Leguizamón,30,66,CB,CB,Argentina,CS Emelec
M. Enrique,Marcos Enrique,22,66,CDM,CDM,Argentina,Cerro Largo Fútbol Club
N. Pérez,Nehuén Pérez,22,75,CB,CB,Argentina,Udinese Calcio
R. Giampaoli,Renzo Giampaoli,22,66,CB,CB,Argentina,Rosenborg BK
J. Zacaría,Jonathan Zacaría,32,66,"LW,LM,CM",LW,Argentina,Club Atlético Aldosivi
A. Maciel,Alejandro Maciel,25,67,CB,CB,Argentina,Club Atlético Banfield
G. Risso Patrón,Gabriel Risso Patrón,26,66,LB,LB,Argentina,Atlético Tucumán
T. Allende,Tadeo Allende,23,66,"LM,RM",RM,Argentina,Godoy Cruz
L. Romero,Luka Romero,17,67,"RW,CAM",LM,Argentina,Lazio
N. Garayalde,Nicolás Garayalde,22,67,"CM,CAM",CAM,Argentina,Vélez Sarsfield
L. Díaz,Lautaro Díaz,24,67,"RW,CF",RM,Argentina,Independiente del Valle
M. Urruti,Maximiliano Urruti,31,67,ST,CAM,Argentina,Austin FC
M. Insaurralde,Manuel Insaurralde,23,67,"CM,CDM,RB",CAM,Argentina,Gimnasia y Esgrima La Plata
L. Albertengo,Lucas Albertengo,31,67,ST,ST,Argentina,Defensa y Justicia
F. Álvarez,Favio Álvarez,29,67,"CAM,RM,LM",CAM,Argentina,Club Atlético Talleres
