No.,Pos.,Player,Club,Nationality
1,GK,Hernán Galíndez,Aucas,Ecuador
2,DF,Félix Torres,Santos Laguna,Ecuador
3,DF,Piero Hincapié,Bayer Leverkusen,Ecuador
4,DF,Robert Arboleda,São Paulo,Ecuador
5,MF,José Cifuentes,Los Angeles FC,Ecuador
6,DF,William Pacho,Antwerp,Ecuador
7,DF,Pervis Estupiñán,Brighton & Hove Albion,Ecuador
8,MF,Carlos Gruezo,FC Augsburg,Ecuador
9,MF,Ayrton Preciado,Santos Laguna,Ecuador
10,MF,Romario Ibarra,Pachuca,Ecuador
11,FW,Michael Estrada,Cruz Azul,Ecuador
12,GK,Moisés Ramírez,Independiente del Valle,Ecuador
13,FW,Enner Valencia (captain),Fenerbahçe,Ecuador
14,DF,Xavier Arreaga,Seattle Sounders FC,Ecuador
15,MF,Ángel Mena,León,Ecuador
16,MF,Jeremy Sarmiento,Brighton & Hove Albion,Ecuador
17,DF,Ángelo Preciado,Genk,Ecuador
18,DF,Diego Palacios,Los Angeles FC,Ecuador
19,MF,Gonzalo Plata,Valladolid,Ecuador
20,MF,Sebas Méndez,Los Angeles FC,Ecuador
21,MF,Alan Franco,Talleres,Ecuador
22,GK,Alexander Domínguez,LDU Quito,Ecuador
23,MF,Moisés Caicedo,Brighton & Hove Albion,Ecuador
24,FW,Djorkaeff Reasco,Newell's Old Boys,Ecuador
25,DF,Jackson Porozo,Troyes,Ecuador
26,FW,Kevin Rodríguez,Imbabura,Ecuador
1,GK,Remko Pasveer,Ajax,Netherlands
2,DF,Jurriën Timber,Ajax,Netherlands
3,DF,Matthijs de Ligt,Bayern Munich,Netherlands
4,DF,Virgil van Dijk (captain),Liverpool,Netherlands
5,DF,Nathan Aké,Manchester City,Netherlands
6,DF,Stefan de Vrij,Internazionale,Netherlands
7,FW,Steven Bergwijn,Ajax,Netherlands
8,FW,Cody Gakpo,PSV Eindhoven,Netherlands
9,FW,Luuk de Jong,PSV Eindhoven,Netherlands
10,FW,Memphis Depay,Barcelona,Netherlands
11,MF,Steven Berghuis,Ajax,Netherlands
12,FW,Noa Lang,Club Brugge,Netherlands
13,GK,Justin Bijlow,Feyenoord,Netherlands
14,MF,Davy Klaassen,Ajax,Netherlands
15,MF,Marten de Roon,Atalanta,Netherlands
16,DF,Tyrell Malacia,Manchester United,Netherlands
17,DF,Daley Blind,Ajax,Netherlands
18,FW,Vincent Janssen,Antwerp,Netherlands
19,FW,Wout Weghorst,Beşiktaş,Netherlands
20,MF,Teun Koopmeiners,Atalanta,Netherlands
21,MF,Frenkie de Jong,Barcelona,Netherlands
22,DF,Denzel Dumfries,Internazionale,Netherlands
23,GK,Andries Noppert,Heerenveen,Netherlands
24,MF,Kenneth Taylor,Ajax,Netherlands
25,MF,Xavi Simons,PSV Eindhoven,Netherlands
26,DF,Jeremie Frimpong,Bayer Leverkusen,Netherlands
1,GK,Saad Al-Sheeb,Al-Sadd,Qatar
2,DF,Ró-Ró,Al-Sadd,Qatar
3,MF,Abdelkarim Hassan,Al-Sadd,Qatar
4,DF,Mohammed Waad,Al-Sadd,Qatar
5,DF,Tarek Salman,Al-Sadd,Qatar
6,MF,Abdulaziz Hatem,Al-Rayyan,Qatar
7,FW,Ahmed Alaaeldin,Al-Gharafa,Qatar
8,MF,Ali Assadalla,Al-Sadd,Qatar
9,FW,Mohammed Muntari,Al-Duhail,Qatar
10,MF,Hassan Al-Haydos (captain),Al-Sadd,Qatar
11,FW,Akram Afif,Al-Sadd,Qatar
12,MF,Karim Boudiaf,Al-Duhail,Qatar
